name,field_media_description,field_media_file,nothing,Keywords,Audience,"Document Type"
"FEMA P-2139: Short-Period Building Collapse Performance and Recommendations for Improving Seismic Design","Recent analytical studies investigating a wide range of modern seismic-force-resisting systems have predicted collapse rates for short-period buildings that are significantly larger than those observed in earthquakes during the past 50 years. This gap between analytically predicted and historically observed collapse rates in known as the short-period building seismic performance paradox. Additionally, analytically predicted collapse rates for short-period buildings are generally larger than maximum collapse rates used in national model codes and standards to establish seismic design requirements. The FEMA P-2139 series of reports documents a multi-year investigation of the response behavior and collapse performance of different structural systems to identify causes and develop solutions for the short-period building seismic performance paradox. Studies investigated three structural systems: wood light-frame, special reinforced masonry shear wall, and steel special concentrically braced frame systems. Volume 1 summarizes results, conclusions, and recommendations from the three-system specific studies and presents a common understanding of the seismic response and collapse performance of short-period buildings. Volume 2 summarizes results, conclusions, and recommendations from the study of wood light-frame systems. Volume 3 summarizes results, conclusions, and recommendations from the study of special reinforced masonry shear wall systems. Volume 4 summarizes results, conclusions, and recommendations from the study of steel special concentrically braced frame systems.","Download File","FEMA P-2139: Short-Period Building Collapse Performance and Recommendations for Improving Seismic Design
    Recent analytical studies investigating a wide range of modern seismic-force-resisting systems have predicted collapse rates for short-period buildings that are significantly larger than those observed in earthquakes during the past 50 years. This gap between analytically predicted and historically observed collapse rates in known as the short-period building seismic performance paradox. Additionally, analytically predicted collapse rates for short-period buildings are generally larger than maximum collapse rates used in national model codes and standards to establish seismic design requirements. The FEMA P-2139 series of reports documents a multi-year investigation of the response behavior and collapse performance of different structural systems to identify causes and develop solutions for the short-period building seismic performance paradox. Studies investigated three structural systems: wood light-frame, special reinforced masonry shear wall, and steel special concentrically braced frame systems. Volume 1 summarizes results, conclusions, and recommendations from the three-system specific studies and presents a common understanding of the seismic response and collapse performance of short-period buildings. Volume 2 summarizes results, conclusions, and recommendations from the study of wood light-frame systems. Volume 3 summarizes results, conclusions, and recommendations from the study of special reinforced masonry shear wall systems. Volume 4 summarizes results, conclusions, and recommendations from the study of steel special concentrically braced frame systems. 
    
      
        Sep 7, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-2156, The Role of the NEHRP Recommended Seismic Provisions in the Development of Nationwide Seismic Building Code Regulations: A Thirty-Five-Year Retrospective","In retrospect, the NEHRP Recommended Provisions not only provided many critical stepping stones to form the foundation of modern U.S. seismic-resistant codes and standards, but also helped to explore new ways to advance earthquake science and risk reduction technologies. Over the past thirty-five years, many scientists, researchers, engineers, code and standard experts, material industry experts, and professionals from the NEHRP agencies contributed to the success of the NEHRP Provisions. This report captures the history of the NEHRP Provisions and many great benefits it has introduced.","Download File","FEMA P-2156, The Role of the NEHRP Recommended Seismic Provisions in the Development of Nationwide Seismic Building Code Regulations: A Thirty-Five-Year Retrospective
    In retrospect, the NEHRP Recommended Provisions not only provided many critical stepping stones to form the foundation of modern U.S. seismic-resistant codes and standards, but also helped to explore new ways to advance earthquake science and risk reduction technologies. Over the past thirty-five years, many scientists, researchers, engineers, code and standard experts, material industry experts, and professionals from the NEHRP agencies contributed to the success of the NEHRP Provisions. This report captures the history of the NEHRP Provisions and many great benefits it has introduced.
    
      
        Sep 7, 2021

      Download File","Building Codes, Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-2192-4 2020 NEHRP Recommended Seismic Provisions: Seismic Design Category Maps for 2024 International Residential Code (IRC) and International Building Code (IBC)","This document includes the updated seismic design maps that have been adopted into the 2024 editions of the International Residential Code and the International Building Code. Both map sets are based on the 2020 NEHRP Recommended Seismic Provisions for New Buildings and Other Structures and the 2022 ASCE Minimum Design Loads and Associated Criteria for Buildings and Other Structures.","Download File","FEMA P-2192-4 2020 NEHRP Recommended Seismic Provisions: Seismic Design Category Maps for 2024 International Residential Code (IRC) and International Building Code (IBC)
    This document includes the updated seismic design maps that have been adopted into the 2024 editions of the International Residential Code and the International Building Code. Both map sets are based on the 2020 NEHRP Recommended Seismic Provisions for New Buildings and Other Structures and the 2022 ASCE Minimum Design Loads and Associated Criteria for Buildings and Other Structures.
    
      
        Apr 17, 2023

      Download File","Building Science, Earthquake","Building Professionals & Engineers, Community Planning & Policy",Report
"FEMA P-2192: 2020 NEHRP Recommended Seismic Provisions: Design Examples, Training Materials, and Design Flow Charts Volume 1: Design Examples","FEMA P-2192 is a three-volume series of educational materials for users of the 2020 NEHRP Recommended Provisions and the ASCE/SEI 7-22 standard. Volume 1 includes design examples covering the major topics of change in the 2020 NEHRP Recommend Provisions.","Download File","FEMA P-2192: 2020 NEHRP Recommended Seismic Provisions: Design Examples, Training Materials, and Design Flow Charts Volume 1: Design Examples
    FEMA P-2192 is a three-volume series of educational materials for users of the 2020 NEHRP Recommended Provisions and the ASCE/SEI 7-22 standard. Volume 1 includes design examples covering the major topics of change in the 2020 NEHRP Recommend Provisions. 
    
      
        Jan 28, 2022

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-2192: 2020 NEHRP Recommended Seismic Provisions: Design Examples, Training Materials, and Design Flow Charts Volume 2: Training Materials","FEMA P-2192 is a three-volume series of educational materials for users of the 2020 NEHRP Recommended Provisions and the ASCE/SEI 7-22 standard. Volume 2 provides a collection of training course presentations for the topics of design examples in Volume 1.","Download File","FEMA P-2192: 2020 NEHRP Recommended Seismic Provisions: Design Examples, Training Materials, and Design Flow Charts Volume 2: Training Materials
    FEMA P-2192 is a three-volume series of educational materials for users of the 2020 NEHRP Recommended Provisions and the ASCE/SEI 7-22 standard. Volume 2 provides a collection of training course presentations for the topics of design examples in Volume 1. 
    
      
        Jan 28, 2022

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-2192: 2020 NEHRP Recommended Seismic Provisions: Design Examples, Training Materials, and Design Flow Charts Volume 3: Design Flow Charts","FEMA P-2192 is a three-volume series of educational materials for users of the 2020 NEHRP Recommended Provisions and the ASCE/SEI 7-22 standard. Volume 3 offers design flow charts for various parts of seismic design for buildings.","Download File","FEMA P-2192: 2020 NEHRP Recommended Seismic Provisions: Design Examples, Training Materials, and Design Flow Charts Volume 3: Design Flow Charts
    FEMA P-2192 is a three-volume series of educational materials for users of the 2020 NEHRP Recommended Provisions and the ASCE/SEI 7-22 standard. Volume 3 offers design flow charts for various parts of seismic design for buildings.
    
      
        Jan 28, 2022

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-2196, Building Codes Adoption Playbook for Authorities Having Jurisdiction","The Playbook is intended for officials interested in increasing community resilience and reducing loss from natural hazards by adopting the latest editions of model building codes. The Playbook provides general steps to help navigate the code adoption process and informs about FEMA grants available to support building code adoption and enforcement activities.","Download File","FEMA P-2196, Building Codes Adoption Playbook for Authorities Having Jurisdiction
    The Playbook is intended for officials interested in increasing community resilience and reducing loss from natural hazards by adopting the latest editions of model building codes. The Playbook provides general steps to help navigate the code adoption process and informs about FEMA grants available to support building code adoption and enforcement activities.
    
      
        Feb 14, 2025

      Download File","Building Science, Earthquake, Flood, High Winds, Hurricane, Multi-Hazard, Other Hazards","Community Planning & Policy",Publication
"FEMA P-2208: NEHRP Recommended Revisions to ASCE/SEI 41-17 Seismic Evaluation and Retrofit of Existing Buildings","This publication documents the work of a five-year project that that investigated, addressed technical issues and developed guidance which resulted in the submittal of 35 detailed proposed revisions to the official ASCE/SEI 41 consensus standard process of ASCE/SEI 41.","Download File","FEMA P-2208: NEHRP Recommended Revisions to ASCE/SEI 41-17 Seismic Evaluation and Retrofit of Existing Buildings
    This publication documents the work of a five-year project that that investigated, addressed technical issues and developed guidance which resulted in the submittal of 35 detailed proposed revisions to the official ASCE/SEI 41 consensus standard process of ASCE/SEI 41.
    
      
        Dec 5, 2023

      Download File","Building Science, Earthquake",,
"FEMA P-232, Homebuilders' Guide to Earthquake-Resistant Design and Construction","This guide presents a plain-language overview of design and construction provisions important to the earthquake performance of one- and two-family detached dwellings and townhouses (referred to as dwellings and townhouses in this guide) constructed under the International Residential Code (IRC) (ICC, 2024a). The primary intended audiences for this guide are homebuilders, tradespeople working in the home building industry, and building department plan checkers and inspectors. Secondary audiences include architects, engineers, and homeowners with construction knowledge.","Download File","FEMA P-232, Homebuilders' Guide to Earthquake-Resistant Design and Construction
    This guide presents a plain-language overview of design and construction provisions important to the earthquake performance of one- and two-family detached dwellings and townhouses (referred to as dwellings and townhouses in this guide) constructed under the International Residential Code (IRC) (ICC, 2024a). The primary intended audiences for this guide are homebuilders, tradespeople working in the home building industry, and building department plan checkers and inspectors. Secondary audiences include architects, engineers, and homeowners with construction knowledge.
    
      
        Oct 3, 2024

      Download File","Building Science, Earthquake",,
"FEMA P-320, Taking Shelter from the Storm: Building or Installing a Safe Room for Your Home","This sixth edition of FEMA P-320 presents updated and refined criteria for residential safe rooms through reference to the newly updated fifth edition of FEMA P-361, Safe Rooms for Tornadoes and Hurricanes: Guidance for Community and Residential Safe Rooms (FEMA, 2024d). FEMA P-320 draws on these updated criteria to address how to design and construct a safe room for a one- or two-family dwelling that provides near-absolute protection from wind and wind-borne debris for occupants. It should be noted that the updates in this edition of FEMA P-320 focus guidance exclusively on residential safe rooms for one- and two-family dwellings. Prescriptive safe room designs that meet FEMA criteria for one- and two-family dwellings are also included as a part of this publication. The 2024 editions of this publication and FEMA P-361 supersede FEMA’s National Performance Criteria for Tornado Shelters (FEMA, 1999) as well as earlier versions of FEMA P-320.","Download File","FEMA P-320, Taking Shelter from the Storm: Building or Installing a Safe Room for Your Home
    This sixth edition of FEMA P-320 presents updated and refined criteria for residential safe rooms through reference to the newly updated fifth edition of FEMA P-361, Safe Rooms for Tornadoes and Hurricanes: Guidance for Community and Residential Safe Rooms (FEMA, 2024d). FEMA P-320 draws on these updated criteria to address how to design and construct a safe room for a one- or two-family dwelling that provides near-absolute protection from wind and wind-borne debris for occupants. It should be noted that the updates in this edition of FEMA P-320 focus guidance exclusively on residential safe rooms for one- and two-family dwellings. Prescriptive safe room designs that meet FEMA criteria for one- and two-family dwellings are also included as a part of this publication. The 2024 editions of this publication and FEMA P-361 supersede FEMA’s National Performance Criteria for Tornado Shelters (FEMA, 1999) as well as earlier versions of FEMA P-320.

    
      
        Jan 14, 2025

      Download File","Building Science, High Winds, Safe Room","Individuals & Homeowners",Publication
"FEMA P-348,  Protect Your Property from Flooding:  Protecting Building Utility Systems From Flood Damage Flyer","This flyer announces FEMA Building Science Branch's release of the second edition of Protecting Building Utilities from Flood Damage, FEMA P-348. The overall objective of this updated publication is to assist in the repair, reconstruction, and new construction of buildings with building utility systems and equipment that are designed and built for maximum flood resiliency.","Download File","FEMA P-348,  Protect Your Property from Flooding:  Protecting Building Utility Systems From Flood Damage Flyer
    This flyer announces FEMA Building Science Branch's release of the second edition of Protecting Building Utilities from Flood Damage, FEMA P-348. The overall objective of this updated publication is to assist in the repair, reconstruction, and new construction of buildings with building utility systems and equipment that are designed and built for maximum flood resiliency.
    
      
        Sep 26, 2021

      Download File","Retrofitting and Floodproofing Structures, Building Science, Floodplain Management, Flood","Individuals & Homeowners",Publication
"FEMA P-348,  Protect Your Property from Flooding: Protecting Building Utility Systems From Flood Damage","This publication illustrates the design and construction of utility systems that comply with the National Flood Insurance Program (NFIP) requirements for the construction of new residential and non-residential structures in flood-prone areas. It is also useful when evaluating structures that will undergo Substantial Improvement, guiding users to meet floodplain management regulations and building code requirements. Even if compliance is not required, many building owners may find that applying mitigation measures described in this publication will not only reduce future flood damage but also facilitate recovery after flooding.","Download File","FEMA P-348,  Protect Your Property from Flooding: Protecting Building Utility Systems From Flood Damage
    This publication illustrates the design and construction of utility systems that comply with the National Flood Insurance Program (NFIP) requirements for the construction of new residential and non-residential structures in flood-prone areas. It is also useful when evaluating structures that will undergo Substantial Improvement, guiding users to meet floodplain management regulations and building code requirements. Even if compliance is not required, many building owners may find that applying mitigation measures described in this publication will not only reduce future flood damage but also facilitate recovery after flooding.
    
      
        Sep 26, 2021

      Download File","Retrofitting and Floodproofing Structures, Building Science, Floodplain Management, Flood","Individuals & Homeowners",Publication
"FEMA P-361, History and Relevant FEMA Building Science Activities","This document will contain the background and history of FEMA P-361 as well as the tornado and hurricane events that were researched to inform the necessary criteria for safe room design.","Download File","FEMA P-361, History and Relevant FEMA Building Science Activities
    This document will contain the background and history of FEMA P-361 as well as the tornado and hurricane events that were researched to inform the necessary criteria for safe room design.
    
      
        Apr 15, 2021

      Download File","Building Science, High Winds, Safe Room, Hurricane","Individuals & Homeowners",Publication
"FEMA P-361: Safe Rooms for Tornadoes and Hurricanes: Guidance for Community and Residential Safe Rooms (Fourth Edition)","This publication presents important information about the design and construction of community and residential safe rooms that will provide protection during tornado and hurricane events. The third edition of FEMA P-361 presents updated and refined criteria for safe rooms compared to the second edition’s 2008 criteria. This edition also features clarified guidance and revised commentary to reflect 6 more years of post-damage assessments and lessons learned, including those based on many safe rooms directly impacted by tornadoes.

Following publication of FEMA P-361 (2021), FEMA’s Hazard Mitigation Assistance Branch provided an extended grace period for prefabricated residential safe rooms to comply with the testing, listing, and labeling requirements of ICC 500-2020 as referenced in FEMA P-361 (2021).

Be advised that the extended grace period allowing FEMA-funded prefabricated residential safe rooms to comply with FEMA P-361 (2015) and ICC 500-2014 expired on January 1, 2024. Accordingly, applications for FEMA-funded prefabricated residential safe rooms must now demonstrate compliance with FEMA P-361 (2021) and ICC 500-2020.","Download File","FEMA P-361: Safe Rooms for Tornadoes and Hurricanes: Guidance for Community and Residential Safe Rooms (Fourth Edition)
    This publication presents important information about the design and construction of community and residential safe rooms that will provide protection during tornado and hurricane events. The third edition of FEMA P-361 presents updated and refined criteria for safe rooms compared to the second edition’s 2008 criteria. This edition also features clarified guidance and revised commentary to reflect 6 more years of post-damage assessments and lessons learned, including those based on many safe rooms directly impacted by tornadoes.

Following publication of FEMA P-361 (2021), FEMA’s Hazard Mitigation Assistance Branch provided an extended grace period for prefabricated residential safe rooms to comply with the testing, listing, and labeling requirements of ICC 500-2020 as referenced in FEMA P-361 (2021).

Be advised that the extended grace period allowing FEMA-funded prefabricated residential safe rooms to comply with FEMA P-361 (2015) and ICC 500-2014 expired on January 1, 2024. Accordingly, applications for FEMA-funded prefabricated residential safe rooms must now demonstrate compliance with FEMA P-361 (2021) and ICC 500-2020.

    
      
        Jan 13, 2025

      Download File","Building Science, High Winds, Safe Room, Tornado","Building Professionals & Engineers, Individuals & Homeowners",Publication
"FEMA P-388, Safe Room Posters, Brochures, Quick Guides and Additional Resources (2015)","The materials are intended to help communities mitigate damage or loss from tornadoes and other extreme-wind events, and provide public information resources for conveying the importance of safe room construction. This is part of FEMA’s ongoing mitigation effort to lessen the impact that disasters have on people and property.","Download File","FEMA P-388, Safe Room Posters, Brochures, Quick Guides and Additional Resources (2015)
    The materials are intended to help communities mitigate damage or loss from tornadoes and other extreme-wind events, and provide public information resources for conveying the importance of safe room construction. This is part of FEMA’s ongoing mitigation effort to lessen the impact that disasters have on people and property.
    
      
        Apr 22, 2021

      Download File","Building Science, High Winds, Safe Room","Individuals & Homeowners",Publication
"FEMA P-388, Safe Room Resources CD","The materials on this CD are intended to help communities mitigate damage or loss from tornadoes and other extreme-wind events, and provide public information resources for conveying the importance of safe room construction. This is part of FEMA’s ongoing mitigation effort to lessen the impact that disasters have on people and property.

This CD contains several informative posters, maps, and other resources that can be downloaded in various formats depending on how they will be used, including high-resolution print quality and low-resolution screen quality for web use.","Download File","FEMA P-388, Safe Room Resources CD
    The materials on this CD are intended to help communities mitigate damage or loss from tornadoes and other extreme-wind events, and provide public information resources for conveying the importance of safe room construction. This is part of FEMA’s ongoing mitigation effort to lessen the impact that disasters have on people and property.

This CD contains several informative posters, maps, and other resources that can be downloaded in various formats depending on how they will be used, including high-resolution print quality and low-resolution screen quality for web use.


    
      
        Apr 15, 2021

      Download File","Building Science, High Winds, Safe Room, Hurricane, Tornado","Individuals & Homeowners",Publication
"FEMA P-414, Installing Seismic Restraints for Duct and Pipe","This is one of three fully illustrated guides that show equipment installers how to attach mechanical equipment (FEMA 412), electrical equipment (FEMA 413), and duct and pipe (FEMA 414) to buildings to minimize earthquake damage. The guides describe various types of equipment and include a chart that identifies the types of recommended equipment, the configuration for restraint, and the type of attachment needed. Step-by-step instructions and precautions for each type of equipment and methods for installing the equipment are included. Examples of anchoring and seismic restraint devices; attachment types and instructions for installing equipment in different configurations; and special cases for housekeeping pads, cable assemblies, supports for control panels, and residential equipment are included. The publication does not cover non-building structural framing required to elevate equipment above the floor.","Download File","FEMA P-414, Installing Seismic Restraints for Duct and Pipe
    This is one of three fully illustrated guides that show equipment installers how to attach mechanical equipment (FEMA 412), electrical equipment (FEMA 413), and duct and pipe (FEMA 414) to buildings to minimize earthquake damage. The guides describe various types of equipment and include a chart that identifies the types of recommended equipment, the configuration for restraint, and the type of attachment needed. Step-by-step instructions and precautions for each type of equipment and methods for installing the equipment are included. Examples of anchoring and seismic restraint devices; attachment types and instructions for installing equipment in different configurations; and special cases for housekeeping pads, cable assemblies, supports for control panels, and residential equipment are included. The publication does not cover non-building structural framing required to elevate equipment above the floor.
    
      
        May 14, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-420, Risk Management Series: Engineering Guideline for Incremental Seismic Rehabilitation","This publication serves as a technical resource for design professionals on the topic of incremental seismic rehabilitation and strategies for implementing this approach in practice. The publication includes discussions on several topics including building maintenance, capital improvement and decision-making processes as a basis for communicating with decision-makers on seismic rehabilitation opportunities. In addition, other resource documents for seismic rehabilitation are reviewed. FEMA P-420 is a companion manual to the Incremental Seismic Rehabilitation Publications (FEMA 395-400) targeted to engineers and design professionals.","Download File","FEMA P-420, Risk Management Series: Engineering Guideline for Incremental Seismic Rehabilitation
    This publication serves as a technical resource for design professionals on the topic of incremental seismic rehabilitation and strategies for implementing this approach in practice. The publication includes discussions on several topics including building maintenance, capital improvement and decision-making processes as a basis for communicating with decision-makers on seismic rehabilitation opportunities. In addition, other resource documents for seismic rehabilitation are reviewed. FEMA P-420 is a companion manual to the Incremental Seismic Rehabilitation Publications (FEMA 395-400) targeted to engineers and design professionals.
    
      
        May 14, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-424, Design Guide for Improving School Safety in Earthquakes, Floods, and High Winds","This manual is intended to provide guidance for the protection of school buildings from natural disasters. This volume concentrates on grade schools, K-12. FEMA P-424 covers earthquakes, floods, and high winds. Its intended audience is design professionals and school officials involved in the technical and financial decisions of school construction, repair, and renovations. NOTE: This publication is available free to Local and State government staff. All other interested parties can obtain this publication via online download only.","Download File","FEMA P-424, Design Guide for Improving School Safety in Earthquakes, Floods, and High Winds
    This manual is intended to provide guidance for the protection of school buildings from natural disasters. This volume concentrates on grade schools, K-12. FEMA P-424 covers earthquakes, floods, and high winds. Its intended audience is design professionals and school officials involved in the technical and financial decisions of school construction, repair, and renovations. NOTE: This publication is available free to Local and State government staff. All other interested parties can obtain this publication via online download only.
    
      
        Jul 26, 2021

      Download File","Building Science, High Winds, Multi-Hazard, Earthquake, Flood, Hurricane","Building Professionals & Engineers",Publication
"FEMA P-440, Improvement of Nonlinear Static Seismic Analysis Procedures Effects of Strength and Stiffness Degradation on Seismic Response","This state-of-the-art resource captures the latest advances in nonlinear static analysis. It evaluates FEMA and Applied Technology Council (ATC) procedures for estimating the response of structures to ground shaking and attempts to address the significantly different results in estimates of maximum displacement that these procedures generate. This report sets the stage for future improvements to FEMA 356 or the ATC report, Seismic Evaluation and Retrofit of Concrete Buildings (ATC-40).","Download File","FEMA P-440, Improvement of Nonlinear Static Seismic Analysis Procedures Effects of Strength and Stiffness Degradation on Seismic Response
    This state-of-the-art resource captures the latest advances in nonlinear static analysis. It evaluates FEMA and Applied Technology Council (ATC) procedures for estimating the response of structures to ground shaking and attempts to address the significantly different results in estimates of maximum displacement that these procedures generate. This report sets the stage for future improvements to FEMA 356 or the ATC report, Seismic Evaluation and Retrofit of Concrete Buildings (ATC-40). 
    
      
        May 27, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-440A, Effects of Strength and Stiffness Degradation on Seismic Response","This document is a follow-on publication to Improvement of Nonlinear Static Seismic Analysis Procedures (FEMA 440). It provides information that will improve nonlinear analysis for cyclic response, considering cyclic and in-cycle degradation of strength and stiffness. Recent work has demonstrated that it is important to be able to differentiate between cyclic and in-cycle degradation in order to more accurately model degrading behavior, while current practice only recognizes cyclic degradation, or does not distinguish between the two. The material contained within this publication is expected to improve nonlinear modeling of structural systems, and ultimately make the seismic retrofit of existing hazardous buildings more cost-effective.","Download File","FEMA P-440A, Effects of Strength and Stiffness Degradation on Seismic Response
    This document is a follow-on publication to Improvement of Nonlinear Static Seismic Analysis Procedures (FEMA 440). It provides information that will improve nonlinear analysis for cyclic response, considering cyclic and in-cycle degradation of strength and stiffness. Recent work has demonstrated that it is important to be able to differentiate between cyclic and in-cycle degradation in order to more accurately model degrading behavior, while current practice only recognizes cyclic degradation, or does not distinguish between the two. The material contained within this publication is expected to improve nonlinear modeling of structural systems, and ultimately make the seismic retrofit of existing hazardous buildings more cost-effective.
    
      
        May 27, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-499, Guía del constructor de viviendas para la construcción costera","FEMA ha producido una serie de 37 hojas informativas que ofrece guías y recomendaciones técnicas respecto a la construcción de edificios residenciales costeros. Las hojas contienen información dirigida a mejorar el rendimiento de los edificios expuestos a inundaciones y fuerzas del viento en zonas costeras. Las hojas informativas incluyen una gran cantidad de fotos e imágenes que ilustran los requisitos reglamentarios del Programa del Seguro Nacional de Inundación (NFIP, por sus siglas en inglés), la manera correcta de ubicar edificios costeros y las prácticas de diseño y construcción recomendadas, como las conexiones estructurales, el cerramiento del edificio, los servicios públicos y estructuras adjuntas.","Download File","FEMA P-499, Guía del constructor de viviendas para la construcción costera
    FEMA ha producido una serie de 37 hojas informativas que ofrece guías y recomendaciones técnicas respecto a la construcción de edificios residenciales costeros. Las hojas contienen información dirigida a mejorar el rendimiento de los edificios expuestos a inundaciones y fuerzas del viento en zonas costeras. Las hojas informativas incluyen una gran cantidad de fotos e imágenes que ilustran los requisitos reglamentarios del Programa del Seguro Nacional de Inundación (NFIP, por sus siglas en inglés), la manera correcta de ubicar edificios costeros y las prácticas de diseño y construcción recomendadas, como las conexiones estructurales, el cerramiento del edificio, los servicios públicos y estructuras adjuntas.
    
      
        sep 26, 2021

      Download File","Coastal Construction, Building Science, Floodplain Management, High Winds, Flood, Hurricane","Building Professionals & Engineers, Community Planning & Policy",Publication
"FEMA P-499, Home Builder's Guide to Coastal Construction","FEMA produced this series of 37 fact sheets to provide technical guidance and recommendations concerning the construction of coastal residential buildings. The fact sheets present information aimed at improving the performance of buildings subject to flood and wind forces in coastal environments. Photographs and drawings illustrate the National Flood Insurance Program (NFIP) regulatory requirements, the proper siting of coastal buildings, and recommended design and construction practices for building components, including structural connections, the building envelope, and utilities.","Download File","FEMA P-499, Home Builder's Guide to Coastal Construction
    FEMA produced this series of 37 fact sheets to provide technical guidance and recommendations concerning the construction of coastal residential buildings. The fact sheets present information aimed at improving the performance of buildings subject to flood and wind forces in coastal environments. Photographs and drawings illustrate the National Flood Insurance Program (NFIP) regulatory requirements, the proper siting of coastal buildings, and recommended design and construction practices for building components, including structural connections, the building envelope, and utilities.
    
      
        Sep 26, 2021

      Download File","Coastal Construction, Building Science, Floodplain Management, High Winds, Flood, Hurricane","Building Professionals & Engineers, Community Planning & Policy",Publication
"FEMA P-499, Protect Your Property from High Winds: Homebuilder's Guide to Coastal Construction  - Overview",,"Download File","FEMA P-499, Protect Your Property from High Winds: Homebuilder's Guide to Coastal Construction  - Overview
    
    
      
        Sep 14, 2021

      Download File","Building Science, High Winds","Community Planning & Policy",Publication
"FEMA P-50, Simplified Seismic Assessment of Detached, Single-Family,Wood-Frame Dwellings","The training provides instruction on inspection procedures and use of a four-page Simplified Seismic Assessment Form to evaluate detached single-family wood-frame dwellings and to assign to each a seismic performance grade.  The procedure takes into consideration the potential for damage or collapse in a manner that is consistent and useful to owners, purchasers, insurers, lenders, contractors, design professionals, and regulatory officials.","Download File","FEMA P-50, Simplified Seismic Assessment of Detached, Single-Family,Wood-Frame Dwellings
    The training provides instruction on inspection procedures and use of a four-page Simplified Seismic Assessment Form to evaluate detached single-family wood-frame dwellings and to assign to each a seismic performance grade.  The procedure takes into consideration the potential for damage or collapse in a manner that is consistent and useful to owners, purchasers, insurers, lenders, contractors, design professionals, and regulatory officials.  
    
      
        Nov 4, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-50-1, Seismic Retrofit Guidelines for Detached, Single-Family, Wood-Frame Dwellings","The training provides instruction on inspection procedures and use of a four-page Simplified Seismic Assessment Form to evaluate detached single-family wood-frame dwellings and to assign to each a seismic performance grade.  The procedure takes into consideration the potential for damage or collapse in a manner that is consistent and useful to owners, purchasers, insurers, lenders, contractors, design professionals, and regulatory officials.","Download File","FEMA P-50-1, Seismic Retrofit Guidelines for Detached, Single-Family, Wood-Frame Dwellings
    The training provides instruction on inspection procedures and use of a four-page Simplified Seismic Assessment Form to evaluate detached single-family wood-frame dwellings and to assign to each a seismic performance grade.  The procedure takes into consideration the potential for damage or collapse in a manner that is consistent and useful to owners, purchasers, insurers, lenders, contractors, design professionals, and regulatory officials.  
    
      
        Nov 4, 2021

      Download File","Building Science, Earthquake","Building Professionals & Engineers",Publication
"FEMA P-530 Earthquake Safety at Home","Half of all Americans live in areas subject to earthquake risk, and most Americans will travel to seismically active regions in their lifetime. FEMA is fostering awareness of earthquake risks in the United States through the newly developed FEMA P-530, Earthquake Safety at Home. FEMA P-530 is intended to show readers why earthquakes matter where they live, and how they can “Prepare, Protect, Survive, Respond, Recover and Repair” from an earthquake. This publication will help readers become familiar with why and where earthquakes might occur. It discusses wide-ranging steps that readers can take to adequately prepare and protect themselves, their family, and their belongings. These include: developing family response plans, assembling earthquake disaster supplies, securing heavy objects and furniture, retrofitting a home, and more.","Download File","FEMA P-530 Earthquake Safety at Home
    Half of all Americans live in areas subject to earthquake risk, and most Americans will travel to seismically active regions in their lifetime. FEMA is fostering awareness of earthquake risks in the United States through the newly developed FEMA P-530, Earthquake Safety at Home. FEMA P-530 is intended to show readers why earthquakes matter where they live, and how they can “Prepare, Protect, Survive, Respond, Recover and Repair” from an earthquake. This publication will help readers become familiar with why and where earthquakes might occur. It discusses wide-ranging steps that readers can take to adequately prepare and protect themselves, their family, and their belongings. These include: developing family response plans, assembling earthquake disaster supplies, securing heavy objects and furniture, retrofitting a home, and more.
    
      
        Apr 4, 2023

      Download File","Building Science, Earthquake","Individuals & Homeowners",Publication
